frame,ball_type,channel,asm_mean,asm_range,contrast_mean,contrast_range,correlation_mean,correlation_range
105,1,R,0.6030351415603086,0.016733213298129934,5720.437605872388,2280.097402597403,0.7193675372340665,0.14144981123056077
105,1,G,1.0,0.0,0.0,0.0,1.0,0.0
105,1,B,1.0,0.0,0.0,0.0,1.0,0.0
105,2,R,1.0,0.0,0.0,0.0,1.0,0.0
105,2,G,0.6206302611713284,0.009673339523836977,4325.913258448541,1526.0176651305683,0.7887825291612574,0.090979156413738
105,2,B,1.0,0.0,0.0,0.0,1.0,0.0
105,3,R,1.0,0.0,0.0,0.0,1.0,0.0
105,3,G,1.0,0.0,0.0,0.0,1.0,0.0
105,3,B,0.616335037884428,0.01659389717425419,2065.3266974925523,1161.1607142857147,0.9098399508986761,0.05224486815092466
106,1,R,0.6066549981999823,0.0180076157501029,5740.771271063033,1849.085968379446,0.7150382839637657,0.12443106374216295
106,1,G,1.0,0.0,0.0,0.0,1.0,0.0
106,1,B,1.0,0.0,0.0,0.0,1.0,0.0
106,2,R,1.0,0.0,0.0,0.0,1.0,0.0
106,2,G,0.6398328635548813,0.015571483429431043,3907.357681381119,1519.6814903846162,0.8007714092497751,0.09361352538708057
106,2,B,1.0,0.0,0.0,0.0,1.0,0.0
106,3,R,1.0,0.0,0.0,0.0,1.0,0.0
106,3,G,1.0,0.0,0.0,0.0,1.0,0.0
106,3,B,0.5914478476528049,0.018371546149323903,2154.5159062428797,1290.1785714285713,0.9118643697223301,0.05338392409502701
107,1,R,0.5822951105442177,0.014176388888888947,6045.776785714286,1718.5178571428569,0.7187355890254883,0.10762101882072383
107,1,G,1.0,0.0,0.0,0.0,1.0,0.0
107,1,B,1.0,0.0,0.0,0.0,1.0,0.0
107,2,R,1.0,0.0,0.0,0.0,1.0,0.0
107,2,G,0.615200707986632,0.013372279123971209,4188.040293040292,1811.6987179487173,0.8002097910978125,0.10120200415730185
107,2,B,1.0,0.0,0.0,0.0,1.0,0.0
107,3,R,1.0,0.0,0.0,0.0,1.0,0.0
107,3,G,1.0,0.0,0.0,0.0,1.0,0.0
107,3,B,0.5630525860861308,0.02165561527821591,2160.5063899887064,1521.520935960591,0.917830721604246,0.05838621189624282
108,1,R,0.5995798019458847,0.017557953792079695,5820.248632946001,1564.5112781954876,0.7168592354105143,0.10554610554610555
108,1,G,1.0,0.0,0.0,0.0,1.0,0.0
108,1,B,1.0,0.0,0.0,0.0,1.0,0.0
108,2,R,1.0,0.0,0.0,0.0,1.0,0.0
108,2,G,0.6471635094177848,0.012760596945576963,3829.860504079254,1062.329727564103,0.8006915528876781,0.07088992441144082
108,2,B,1.0,0.0,0.0,0.0,1.0,0.0
108,3,R,1.0,0.0,0.0,0.0,1.0,0.0
108,3,G,1.0,0.0,0.0,0.0,1.0,0.0
